DateTime,temp,windspeed,humidity,holiday,Amount(total),month,hour
2020-12-15 06:00:00,-9.3,1.8,31.1,0,0.0,12,6
2020-12-15 07:00:00,-9.2,1.5,31.6,0,6.26,12,7
2020-12-15 08:00:00,-9.1,1.3,32.9,0,6.18,12,8
2020-12-15 09:00:00,-8.6,1.5,31.4,0,5.44,12,9
2020-12-15 10:00:00,-7.7,1.1,28.2,0,5.87,12,10
2020-12-15 11:00:00,-6.9,2.4,27.4,0,8.1,12,11
2020-12-15 12:00:00,-5.9,2.1,24.6,0,27.06,12,12
2020-12-15 13:00:00,-4.6,2.7,19.8,0,33.23,12,13
2020-12-15 14:00:00,-3.9,2.9,17.7,0,33.05,12,14
2020-12-15 15:00:00,-4.8,2.4,20.8,0,24.66,12,15
2020-12-15 16:00:00,-4.6,1.9,21.9,0,32.39,12,16
2020-12-15 17:00:00,-5.1,2.6,22.5,0,44.87,12,17
2020-12-15 18:00:00,-5.7,3.2,24.7,0,36.5,12,18
2020-12-15 19:00:00,-5.8,1.6,29.4,0,33.42,12,19
2020-12-15 20:00:00,-6.1,2.4,34.3,0,30.66,12,20
2020-12-15 21:00:00,-6.4,2.1,39.4,0,18.51,12,21
2020-12-15 22:00:00,-6.9,2.0,41.7,0,16.05,12,22
2020-12-15 23:00:00,-7.4,2.5,44.5,0,14.64,12,23
2020-12-16 00:00:00,-8.2,1.6,45.4,0,16.1,12,0
2020-12-16 01:00:00,-8.7,1.4,45.4,0,11.31,12,1
2020-12-16 02:00:00,-8.8,1.5,43.9,0,10.0,12,2
2020-12-16 03:00:00,-8.8,1.5,39.9,0,8.34,12,3
2020-12-16 04:00:00,-8.9,1.5,39.0,0,6.68,12,4
2020-12-16 05:00:00,-9.0,2.0,36.0,0,6.92,12,5
2020-12-16 06:00:00,-9.3,0.9,40.7,0,7.54,12,6
2020-12-16 07:00:00,-8.9,1.3,33.3,0,7.95,12,7
2020-12-16 08:00:00,-9.0,1.9,29.3,0,7.74,12,8
2020-12-16 09:00:00,-8.6,2.4,30.4,0,7.52,12,9
2020-12-16 10:00:00,-8.0,2.8,25.2,0,7.63,12,10
2020-12-16 11:00:00,-7.0,2.3,22.3,0,7.52,12,11
2020-12-16 12:00:00,-6.2,1.8,23.3,0,22.51,12,12
2020-12-16 13:00:00,-4.4,2.1,21.2,0,32.22,12,13
2020-12-16 14:00:00,-4.1,3.1,19.6,0,37.82,12,14
2020-12-16 15:00:00,-4.4,2.7,24.3,0,42.23,12,15
2020-12-16 16:00:00,-4.1,2.0,21.6,0,34.13,12,16
2020-12-16 17:00:00,-4.3,1.7,23.7,0,32.69,12,17
2020-12-16 18:00:00,-5.0,3.3,23.8,0,31.77,12,18
2020-12-16 19:00:00,-5.3,3.3,24.1,0,30.59,12,19
2020-12-16 20:00:00,-6.0,1.0,30.2,0,27.73,12,20
2020-12-16 21:00:00,-6.5,2.3,30.7,0,27.47,12,21
2020-12-16 22:00:00,-7.1,2.3,35.4,0,24.99,12,22
2020-12-16 23:00:00,-7.5,1.3,42.9,0,22.99,12,23
2020-12-17 00:00:00,-7.8,1.7,44.5,0,18.13,12,0
2020-12-17 01:00:00,-8.2,1.3,43.8,0,14.79,12,1
2020-12-17 02:00:00,-8.8,1.2,48.0,0,12.85,12,2
2020-12-17 03:00:00,-8.9,0.7,45.4,0,12.46,12,3
2020-12-17 04:00:00,-9.7,1.8,52.1,0,12.38,12,4
2020-12-17 05:00:00,-9.6,1.3,50.1,0,12.53,12,5
2020-12-17 06:00:00,-9.8,0.6,44.6,0,10.2,12,6
2020-12-17 07:00:00,-9.7,0.6,49.6,0,10.42,12,7
2020-12-17 08:00:00,-9.8,1.2,58.8,0,10.31,12,8
2020-12-17 09:00:00,-8.8,1.7,61.5,0,10.4,12,9
2020-12-17 10:00:00,-7.0,1.4,52.1,0,10.51,12,10
2020-12-17 11:00:00,-5.5,1.6,40.6,0,10.92,12,11
2020-12-17 12:00:00,-3.8,1.5,38.8,0,25.06,12,12
2020-12-17 13:00:00,-1.8,1.0,31.9,0,34.88,12,13
2020-12-17 14:00:00,-0.2,2.5,25.6,0,37.07,12,14
2020-12-17 15:00:00,-0.6,2.7,21.1,0,36.73,12,15
2020-12-17 16:00:00,-0.6,1.9,21.7,0,33.67,12,16
2020-12-17 17:00:00,-0.6,1.3,24.0,0,42.98,12,17
2020-12-17 18:00:00,-1.6,0.7,28.8,0,41.32,12,18
2020-12-17 19:00:00,-1.2,1.0,28.0,0,37.08,12,19
2020-12-17 20:00:00,-0.9,1.2,30.2,0,31.93,12,20
2020-12-17 21:00:00,-1.7,0.9,35.8,0,21.99,12,21
2020-12-17 22:00:00,-1.4,1.3,33.1,0,21.76,12,22
